Trait,LS_means_Females,LS_means_Males,Standard_error_Females,Variance_Females,Standard_error_Males,Variance_Males,Diff_MF_LS,Diff_MF_Varr,DeltaBIC Sexual Dimorphism,DeltaBIC Family,DeltaBIC Family:Sex,Female_Family_SS,Female_Family_Variance,Female_Residual_SS,Female_Residual_Variance,Male_Family_SS,Male_Family_Variance,Male_Residual_SS,Male_Residual_Variance,%var among fam female,%var among fam male,Delta Sex chromo
m79.05,-7.8,-8.08,0.178,0.031684,0.186,0.034596,0.28,-0.002912,-4.244757,-206.7762,-185.3554,160.3,3.727906977,500.9,4.816346154,183.3,4.262790698,379.3,3.992631579,0.436305774,0.516362526,-0.080056752
m81.06,-7.35,-9.1,0.195,0.038025,0.203,0.041209,1.75,-0.003184,36.90474,-224.0055,-170.9333,147.5,3.430232558,335.3,3.224038462,229.8,5.344186047,666,7.010526316,0.515493365,0.432562563,0.082930802
m83.05,-5.76,-6.06,0.0542,0.00293764,0.0566,0.00320356,0.3,-0.00026592,11.77824,-199.8873,-198.964,6.632,0.154232558,14.029,0.134894231,24.04,0.559069767,71.61,0.753789474,0.533442642,0.425841362,0.10760128
m85.06,-6.6,-7.49,0.157,0.024649,0.164,0.026896,0.89,-0.002247,11.95806,-187.3082,-169.4788,126.7,2.946511628,229.1,2.202884615,242.9,5.648837209,416.4,4.383157895,0.572205262,0.563082134,0.009123128
m86.03,-10.2,-10.3,0.216,0.046656,0.226,0.051076,0.1,-0.00442,-5.433282,-206.519,-208.0062,237.1,5.513953488,736.6,7.082692308,165.4,3.846511628,670.5,7.057894737,0.437731883,0.352748375,0.084983508
m87.04,-4.39,-4.85,0.0869,0.00755161,0.0907,0.00822649,0.46,-0.00067488,9.579857,-197.9394,-191.3597,39.24,0.91255814,71.67,0.689134615,47.39,1.102093023,142.69,1.502,0.569746062,0.423215689,0.146530373
m89.05,-6.78,-6.98,0.119,0.014161,0.124,0.015376,0.2,-0.001215,-3.985617,-173.9626,-202.2393,138.4,3.218604651,248.7,2.391346154,56.14,1.305581395,165.53,1.742421053,0.57373135,0.428340009,0.145391342
m89.09,-6.83,-6.95,0.116,0.013456,0.121,0.014641,0.12,-0.001185,-4.995575,-171.5373,-200.7724,143,3.325581395,248.7,2.391346154,51.02,1.186511628,147.49,1.552526316,0.581707808,0.433185539,0.148522269
m91.00,-6.13,-6.47,0.112,0.012544,0.117,0.013689,0.34,-0.001145,-0.4925839,-194.3368,-163.6952,84.12,1.95627907,132.38,1.272884615,100.1,2.327906977,193.3,2.034736842,0.605816013,0.533600054,0.072215959
m93.06,-6.14,-6.34,0.0933,0.00870489,0.0974,0.00948676,0.2,-0.00078187,-2.933184,-190.4473,-169.1587,65.39,1.520697674,98.75,0.949519231,62.07,1.443488372,130.02,1.368631579,0.615613014,0.513309673,0.102303341
m95.00,-6.95,-7.9,0.176,0.030976,0.184,0.033856,0.95,-0.00288,10.45662,-195.7331,-190.1849,175.9,4.090697674,306.6,2.948076923,193.9,4.509302326,572.3,6.024210526,0.58116617,0.428091026,0.153075144
m97.00,-6.49,-7.29,0.135,0.018225,0.141,0.019881,0.8,-0.001656,13.18898,-198.1209,-182.0949,93.87,2.183023256,177.38,1.705576923,132,3.069767442,325.4,3.425263158,0.561390515,0.472633253,0.088757262
m98.00,-11,-11.3,0.155,0.024025,0.162,0.026244,0.3,-0.002219,-3.712745,-189.2471,-189.9281,181.2,4.213953488,362.5,3.485576923,126.1,2.93255814,313.4,3.298947368,0.547300064,0.470601869,0.076698195
m99.08,-9.67,-10.06,0.231,0.053361,0.241,0.058081,0.39,-0.00472,-4.072308,-214.2179,-185.7044,356.5,8.290697674,702.2,6.751923077,166.8,3.879069767,779.7,8.207368421,0.551147158,0.320943996,0.230203162
perimeter,4.97,4.61,0.127,0.016129,0.132,0.017424,0.36,-0.001295,-1.167339,-190.0607,-188.4599,5.855,0.136162791,298.8,2.873076923,103.8,2.413953488,152.3,1.603157895,0.045248237,0.600917739,-0.555669502
reproductive unit,-0.02559,-0.00547,0.0827,0.00683929,0.0864,0.00746496,-0.02012,-0.00062567,-5.625907,-197.8321,-152.4697,49.33,1.147209302,88.01,0.84625,53.86,1.25255814,81.57,0.858631579,0.575486693,0.593294922,-0.017808229
total gametophores,2.89,2.77,0.293,0.085849,0.306,0.093636,0.12,-0.007787,-5.57768,-181.4764,-186.2055,728.1,16.93255814,1119.9,10.76826923,505,11.74418605,1279,13.46315789,0.611265429,0.465903352,0.145362077
