Sample,Sex,Family,Plate,Initial area (mm^2),Initial perimeter (mm),Initial Circularity,1 week area (mm^2),1 week perimeter (mm),Week_1_Circularity,Week_2_area,Week_2_ perimeter ,Week_2_Circularity,Week_3_area,Week_3_perimeter,Week_3_Circularity,7 days,8 days,9 days,10 days,11 days,12 days,13 days,14 days,15 days,16 days,17 days,18 days,19 days,20 days,21 days,Days_until_gametophores,Total_Gametophores
P_1_6_14,m,3,13B,0.022594454,0.652519002,0.666507696,0.03090563,0.844689581,0.544042675,0.174014397,3.606376539,0.168047742,0.394991236,4.003699469,0.309495371,0,0,0,0,0,0,0,0,0,,0,0,1,1,3,100,0
P_1_6_15,f,3,2B,0.028914929,0.743660456,0.656693015,0.076497203,1.464249681,0.44813093,0.402773066,4.459541266,0.254372224,1.026106734,5.873949015,0.373526856,0,0,0,0,1,1,0,0,0,1,1,5,5,5,5,100,0
P_1_6_15,f,3,2C,0.024146296,0.596623394,0.852000015,0.062639211,1.227483689,0.522161031,0.404428967,4.367659918,0.266277373,0.541457048,6.656487523,0.153484105,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,100,0
P_1_6_15,f,3,2A,0.030665841,0.680298648,0.832233714,0.04826997,0.916795588,0.721309485,0.212158939,3.112060268,0.275140788,0.701446053,6.77951167,0.191684541,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,100,0
P_1_6_2,f,3,19A,0.024390609,0.614851685,0.810347979,0.054861905,1.022667653,0.658857481,0.186601055,2.35629246,0.422129154,0.367329543,4.529494854,0.224877475,0,0,0,0,0,,,0,0,0,0,0,0,0,0,100,0
P_1_6_2,f,3,19B,0.029855988,0.663213829,0.852538377,0.047342485,0.900719715,0.732928062,0.13769768,2.015335979,0.425815382,0.211371707,4.590300666,0.125995266,0,0,0,0,0,,,0,0,0,0,0,0,0,0,100,0
P_1_6_2,f,3,19C,0.027829092,0.660119728,0.802127229,0.046745275,0.954328378,0.644661415,0.087391766,1.524046546,0.472567327,0.081415139,1.627160826,0.386219189,0,0,0,0,0,,,0,0,0,0,0,0,0,0,100,0
P_1_6_3,f,3,10A,0.015414358,0.529494854,0.690544391,0.025426679,0.888208785,0.404808053,0.084125207,2.145960853,0.229441616,0.393041254,3.585861304,0.383920056,0,0,0,0,,0,0,0,0,0,0,0,0,,1,100,0
P_1_6_3,f,3,10B,0.022377287,0.661935831,0.641453661,0.035466145,0.8156992,0.669489159,0.055386726,1.083204412,0.592890499,0.023969848,0.93307325,0.345798761,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100,0
P_1_6_3,f,3,10C,0.017757956,0.546176095,0.747682545,0.022630649,1.220421067,0.190839053,0.114433627,1.711575974,0.490626428,0.088445932,1.656487523,0.404847224,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100,0
P_1_6_5,f,3,3C,0.013283404,0.448711912,0.828636023,0,0,#DIV/0!,0.37463632,4.673908657,0.215396716,0.915342331,7.108428062,0.227523385,0,0,1,1,2,2,2,2,2,3,3,3,6,8,9,100,0
P_1_6_5,f,3,3B,0.032792272,0.70316809,0.83299584,0.055563174,0.826057712,1.02271802,0.335505476,3.875899644,0.280507324,0.638571577,5.028250488,0.317223546,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,100,0
P_1_6_5,f,3,3A,0.019269079,0.523373915,0.883540474,0.074633183,1.336786171,0.524563075,0.502244766,4.544292729,0.30547274,1.224796772,8.031210063,0.238501822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
P_1_6_7,f,3,12B,0.020413732,0.562251967,0.811054578,0.063335956,1.361606242,0.429078647,0.235445614,3.298715275,0.271763159,0.5946721,4.893522567,0.311906203,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,100,0
P_1_6_7,f,3,12C,0.018210388,0.518934553,0.849344079,0.059196203,1.21282034,0.50546437,0.173616257,2.746552768,0.289070739,0.509750613,4.101903545,0.380519142,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,100,0
P_1_6_7,f,3,12A,0.023042362,0.619089258,0.755109781,0.077424689,1.462231789,0.454816974,0.214108921,2.887267102,0.322589686,0.437090034,4.561377548,0.263856928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
P_11_16_12,f,4,5B,0.007370117,0.347279209,0.767549642,0.057639837,1.378152956,0.381168973,0.356615953,3.513082666,0.362922312,0.97928907,6.353400148,0.304710998,0,0,0,0,0,0,0,0,0,0,1,1,,5,16,100,0
P_11_16_12,f,4,5C,0.008541916,0.362346136,0.817142273,0.042207382,1.145153696,0.404250431,0.324063471,3.402569449,0.351565072,1.00929436,7.395305038,0.231790323,0,0,0,0,0,0,0,0,0,0,0,0,,4,13,100,0
P_11_16_12,f,4,5A,0.007415361,0.326494922,0.873713506,0.02920901,1.289634762,0.220583497,0.340319353,3.558821551,0.337492295,0.890951721,5.581152889,0.359249334,0,0,0,0,0,0,0,0,0,0,0,0,,1,4,100,0
