Sample,Sex,Family,Plate,Week_3_area,Week_3_perimeter,Week_3_Circularity,Days_until_gametophores,Total_Gametophores
P_14_13_2,f,6,1C,0.377572604,3.035447636,0.514688688,100,0
P_14_13_2,f,6,1A,0.472700957,2.968520885,0.673745539,100,0
P_14_13_4,m,6,28B,0.759135657,4.479451133,0.475181391,100,0
P_14_13_4,m,6,28C,0.660053049,4.515033295,0.406674149,100,0
P_14_13_4,m,6,28A,0.494073844,5.54476357,0.201843811,100,0
P_14_13_5,m,6,16A,0.63349529,4.727450057,0.356023882,100,0
P_14_13_5,m,6,16B,0.547940399,5.950830699,0.194342494,100,0
P_14_13_5,m,6,16C,0.44340146,4.46599852,0.279221984,100,0
P_14_13_6,f,6,3B,0.786028216,4.579000471,0.470854146,7,0
P_14_13_6,f,6,3C,0.458829391,3.943431762,0.370588731,100,0
P_14_13_6,f,6,3A,1.000702677,7.571601534,0.2192397,100,0
P_14_13_7,f,6,27C,0.610882739,4.425438892,0.391773266,12,21
P_14_13_7,f,6,27A,0.34655839,4.093495662,0.259763058,100,0
P_14_13_7,f,6,27B,0.669698899,5.420663214,0.286262443,100,0
P_14_16_13,m,7,2B,0.818956217,6.89096657,0.216615753,100,0
P_14_16_13,m,7,2A,0.685561165,7.512813614,0.152556466,100,0
P_14_16_13,m,7,2C,0.572742721,8.594874554,0.097380081,100,0
P_14_16_14,f,7,18A,1.047778227,6.90018161,0.276399954,100,0
P_14_16_14,f,7,18B,1.113905688,6.605569382,0.320639885,100,0
P_14_16_14,f,7,18C,0.872605604,5.658169099,0.342338538,100,0
P_14_16_15,m,7,27A,0.841763314,7.151005583,0.206749944,100,0
P_14_16_15,m,7,27B,0.589378646,4.661397727,0.340683983,100,0
P_14_16_15,m,7,27C,0,0,#DIV/0!,100,0
P_14_16_16,m,7,6A,0.910686805,5.021591444,0.453603015,100,0
P_14_16_16,m,7,6B,0.743332208,4.240129145,0.519295335,100,0
P_14_16_16,m,7,6C,0.779305076,3.98486581,0.616410094,100,0
P_14_16_3,m,7,26A,0.55831014,4.723145221,0.314342105,7,0
P_14_16_3,m,7,26C,0.858073488,5.757180332,0.32515801,100,0
P_14_16_3,m,7,26B,0.769935209,5.653729737,0.302533681,100,0
P_14_16_4,f,7,10A,0.049631791,1.351314993,0.341378679,100,0
P_14_16_4,f,7,10B,0.02282067,1.026905226,0.271804915,100,0
P_14_16_4,f,7,10C,0.163558693,2.101029125,0.465370796,100,0
P_14_16_5,f,7,30B,0.539181315,5.08555862,0.261846723,100,0
P_14_16_5,f,7,30A,0.451418555,4.402502186,0.292529646,100,0
P_14_16_5,f,7,30C,0.499317531,4.442927289,0.317707921,100,0
P_14_16_7,f,7,19A,0.446301549,6.315867357,0.140524495,100,0
P_14_16_7,f,7,19B,0.3383377,5.019909867,0.168635185,100,0
P_14_16_7,f,7,19C,0.111872861,1.764444743,0.451334218,100,0
P_14_16_8,m,7,13A,0.751227146,4.561108495,0.453544711,100,0
P_14_16_8,m,7,13B,0.947501198,5.491760274,0.394590172,100,0
P_14_16_8,m,7,13C,0.81105223,4.471312302,0.509528467,100,0
P_14_22_1,f,8,12C,0.383051555,4.193246788,0.273618856,7,19
P_14_22_1,f,8,12A,0.694840546,6.886998049,0.18399875,9,18
P_14_22_1,f,8,12B,0.246969057,2.776619358,0.402345816,100,0
P_14_22_1,f,8,27B,1.102341526,7.743189615,0.230922377,100,0
P_14_22_1,f,8,27A,0.923463485,8.47521356,0.161476031,100,0
P_14_22_1,f,8,27C,1.075856157,6.369341495,0.333084774,100,0
P_14_22_4,m,8,9C,0.540068082,4.560368602,0.326165676,100,0
P_14_22_4,m,8,9A,0.638295594,4.693751261,0.363891025,100,0
P_14_22_4,m,8,9B,0.44243778,3.469227147,0.461717538,100,0
P_14_22_5,f,8,13B,0.465647542,4.359655613,0.307710691,7,19
P_14_22_5,f,8,13C,0.553541507,4.985538441,0.279714959,7,0
P_14_22_5,f,8,13A,0.283842266,2.887199839,0.427674163,100,0
P_14_22_9,f,8,8B,0.663916818,4.223986009,0.467367348,100,0
P_14_22_9,f,8,8C,0.66267263,4.860092823,0.352370502,100,0
P_14_22_9,f,8,8A,0.543918278,4.425506155,0.348816801,100,0
P_14_7_11,m,9,30A,0.254882093,3.881213426,0.212517116,100,0
P_14_7_11,m,9,30C,0.26122519,3.182081119,0.324027746,100,0
P_14_7_11,m,9,30B,0.271364191,2.838165064,0.423123238,100,0
P_14_7_14,m,9,13A,0.68220412,5.545705253,0.278605965,100,0
P_14_7_14,m,9,13C,0.846391694,4.569449115,0.509135455,100,0
P_14_7_14,m,9,13B,0.873587381,5.240263671,0.399567091,100,0
P_14_7_15,m,9,31A,0.808912226,7.845833053,0.165049006,100,0
P_14_7_15,m,9,31B,1.23379112,9.380305374,0.176115397,100,0
P_14_7_15,m,9,31C,0.499964509,3.4844286,0.517208527,100,0
P_14_7_2,f,9,19A,0.113334217,3.095042712,0.148599516,100,0
P_14_7_2,f,9,19B,0.040741502,0.949014596,0.56817339,100,0
P_14_7_2,f,9,19C,0.049726801,0.956211744,0.683080705,100,0
P_14_7_3,f,9,20A,0.096006071,2.427860362,0.20456952,100,0
P_14_7_3,f,9,20B,0.157957585,2.136544024,0.434616723,100,0
P_14_7_3,f,9,20C,0.033448298,1.222506222,0.281100428,100,0
P_14_7_5,f,9,18A,0.554808316,4.762897693,0.307177991,100,0
P_14_7_5,f,9,18C,0.535864988,5.936100087,0.191004057,100,0
P_14_7_5,f,9,18B,0.931435337,5.366449183,0.406226553,100,0
P_14_7_7,f,9,12B,1.031042767,5.990650434,0.360843065,100,0
P_14_7_7,f,9,12A,1.25604625,7.874016278,0.254450117,100,0
P_14_7_7,f,9,12C,0.96458503,9.354072779,0.138461384,100,0
P_15_3_1 B,F,10,8A,0.607009921,4.770229367,0.335047904,7,0
P_15_3_1 B,F,10,8C,0.931123159,6.259904486,0.298442971,7,0
P_15_3_1 B,F,10,8B,0.667192426,4.750252236,0.371370502,100,0
P_15_3_12_B,f,10,18A,0.701246983,5.503194996,0.290824401,15,21
P_15_3_12_B,f,10,18B,0.707210037,4.832178651,0.380410145,15,21
P_15_3_12_B,f,10,18C,0.529440454,6.575301002,0.153806782,100,0
P_15_3_13B,f,10,28A,0.430584061,4.60355149,0.255188782,7,0
P_15_3_13B,f,10,28B,0.07565568,1.62373041,0.36041539,7,0
P_15_3_13B,f,10,28C,0.072009078,1.387906101,0.469522834,7,0
P_15_3_14B,m,10,3A,1.47315932,9.743324141,0.194905931,100,0
P_15_3_14B,m,10,3B,1.138653719,8.903342974,0.180416021,100,0
P_15_3_14B,m,10,3C,0.892299969,7.620165467,0.193006401,100,0
P_15_3_3_B,f,10,19A,0.544832191,6.622385148,0.15603554,7,0
P_15_3_3_B,f,10,19B,0.604865393,5.665769826,0.236663086,7,0
P_15_3_3_B,f,10,19C,0.794832543,6.498284792,0.236411064,7,0
P_15_3_4_B,f,10,5A,0.723515686,4.531445483,0.442551759,100,0
P_15_3_4_B,f,10,5B,0.740775967,4.294006861,0.504604426,100,0
P_15_3_4_B,f,10,5C,0.756443687,4.8231654,0.408415233,100,0
P_15_3_5B,m,10,21A,1.260593192,6.16102778,0.417117358,7,0
P_15_3_5B,m,10,21C,1.336199104,6.775475886,0.365578972,100,0
P_15_3_5B,m,10,21B,0.912745371,5.973094774,0.321322004,100,0
P_15_6_10,f,11,9A,0.612502445,7.532521692,0.135586573,100,0
P_15_6_10,f,11,9B,0.373916953,3.659110782,0.350762922,100,0
P_15_6_10,f,11,9C,0.335351649,5.152014529,0.158685019,100,0
P_15_6_2,m,11,26A,0.550406153,4.402165871,0.356730395,7,0
P_15_6_2,m,11,26C,0.626075405,5.198896886,0.290933596,100,0
P_15_6_2,m,11,26B,0.440171096,4.154301473,0.320342928,100,0
P_15_6_3,F,11,28B,0.970326392,6.858613036,0.259080593,7,0
P_15_6_3,F,11,28A,0.904768995,11.03141185,0.093382426,100,0
P_15_6_3,F,11,28C,1.119393688,9.746350979,0.148009094,100,0
P_15_6_4,F,11,24C,0.67937642,4.251294814,0.472125723,100,0
P_15_6_4,F,11,24B,0.777830148,4.112934688,0.577524995,100,0
P_15_6_4,F,11,24A,0.795959098,5.047689514,0.392369394,100,0
P_15_6_6,M,11,1B,0.96634499,5.833523912,0.356664491,100,0
P_15_6_6,M,11,1C,0.828701602,4.740768144,0.463116641,100,0
P_15_6_6,M,11,1A,0.93763818,4.679289702,0.537854808,100,0
P_15_6_7,m,11,23A,0.941352647,5.504069415,0.3902781,21,0
P_15_6_7,m,11,23B,0.896136592,5.975112666,0.31526202,100,0
P_15_6_7,m,11,23C,0.497752117,3.327167552,0.564746322,100,0
P_15_6_8,m,11,27C,1.06738663,6.328580077,0.334733238,7,0
P_15_6_8,m,11,27B,0.967059833,7.373579068,0.223401611,7,0
P_15_6_8,m,11,27A,0.734559551,5.755633282,0.278503347,100,0
P_16_11_15,f,12,8C,1.1585743,7.136342234,0.285734178,100,0
P_16_11_15,f,12,8A,0.899719854,5.914374117,0.323057151,100,0
P_16_11_15,f,12,8B,0.834768715,4.881347952,0.440023906,100,0
P_16_11_16,f,12,15A,0.908718726,5.621779781,0.361136562,100,0
P_16_11_16,f,12,15B,0.9988839,5.922647474,0.35766207,100,0
P_16_11_16,f,12,15C,0.624369737,4.486648281,0.389571729,100,0
P_16_11_18,m,12,6A,0.781861317,4.146297168,0.57121357,100,0
P_16_11_18,m,12,6B,0.832692052,4.017690186,0.647919679,100,0
P_16_11_18,m,12,6C,0.751724821,3.52478644,0.759946312,100,0
P_16_11_20,m,12,10A,0.045501087,1.038474474,0.529931524,100,0
P_16_11_20,m,12,10B,0.226804163,7.885114684,0.045816787,100,0
P_16_11_20,m,12,10C,0.02957548,0.911280016,0.447319415,100,0
P_16_11_25,m,12,2B,0.956396011,4.700208516,0.543742332,7,0
P_16_11_25,m,12,2C,1.171966287,10.3531311,0.137328707,100,0
P_16_11_25,m,12,2A,0.754882797,4.157799152,0.548456458,100,0
P_16_11_9,f,12,4A,0.467470843,4.625815565,0.274389533,100,0
P_16_11_9,f,12,4B,0.452943251,4.300934957,0.3075443,100,0
P_16_11_9,f,12,4C,0.503896143,3.687832111,0.465359292,100,0
P_17_1_1,f,13,11A,0.40823392,6.925674312,0.106899235,100,0
P_17_1_1,f,13,11B,0.529196141,5.791013654,0.198197024,100,0
P_17_1_1,f,13,11C,0.362004418,8.988901594,0.056271729,100,0
P_17_1_13,f,13,6B,0.569245422,3.946996704,0.458939733,100,0
P_17_1_13,f,13,6C,0.541122248,3.485706599,0.559375412,100,0
P_17_1_13,f,13,6A,0.631988692,4.035649425,0.487384914,100,0
P_17_1_2,m,13,1C,0.647158737,4.174480393,0.466439807,100,0
P_17_1_2,m,13,1A,0.722226255,3.904620973,0.594983807,100,0
P_17_1_2,m,13,1B,0.633857236,3.709759871,0.578481525,100,0
P_17_1_24,f,13,26B,1.013167178,6.163045672,0.335027132,17,20
P_17_1_24,f,13,26C,0.741486285,5.284791821,0.333454815,100,0
P_17_1_24,f,13,26A,0.983890303,6.275442255,0.313796174,100,0
P_17_1_5,f,13,4A,0.47650591,4.621645255,0.280197797,7,0
P_17_1_5,f,13,4C,0.5545821,5.706262191,0.213920321,100,0
P_17_1_5,f,13,4B,0.511877044,5.106073855,0.246593207,100,0
P_17_1_7,m,13,8B,1.303443027,6.746216453,0.359717155,7,0
P_17_1_7,m,13,8A,1.057586952,5.885989103,0.383412984,100,0
P_17_1_7,m,13,8C,1.23062862,5.820407614,0.456257325,100,0
P_17_1_8,m,13,19A,1.2720171,9.754826125,0.167897227,100,0
P_17_1_8,m,13,19B,1.372434383,9.550413668,0.188989146,100,0
P_17_1_8,m,13,19C,0.400574247,6.073518531,0.136392956,100,0
P_17_2_12,m,14,26B,0.819842984,4.978744871,0.415413475,100,0
P_17_2_12,m,14,26C,0.91222055,5.226003901,0.419517452,100,0
P_17_2_12,m,14,26A,0.727465417,4.350036995,0.482854286,100,0
P_17_2_14,F,14,9B,0.628735706,3.950897962,0.505901698,7,0
P_17_2_14,F,14,9A,0.771401089,4.902266765,0.403158672,7,0
P_17_2_14,F,14,9C,0.773586336,5.787045134,0.290124691,100,0
P_17_2_18,f,14,5B,0.820892626,4.750924867,0.456793241,100,0
